Nome, Solucao, #Rotas, clocks, clocks_melhor_sol
mggdb_0.50_16, 66.0, 6, 9576767, 10376
mggdb_0.50_17, 53.0, 6, 7306272, 7453
mggdb_0.50_18, 121.0, 5, 13788249, 19411
mggdb_0.50_19, 44.0, 4, 3697358, 2997
mggdb_0.50_20, 77.0, 5, 7314829, 2947
mggdb_0.50_21, 84.0, 7, 12108044, 60736
mggdb_0.50_22, 123.0, 8, 17323130, 760771
mggdb_0.50_23, 124.0, 11, 24383100, 4024062
mgval_0.25_1A, 177.0, 2, 25474703, 352012
mgval_0.25_1B, 217.0, 3, 30272565, 766925
mgval_0.25_1C, 283.0, 8, 37979718, 7971600
mgval_0.25_2A, 259.0, 2, 38790737, 598443
mgval_0.25_2B, 336.0, 3, 38121083, 238633
mgval_0.25_2C, 480.0, 8, 28167798, 625402
mgval_0.25_3A, 89.0, 2, 26073846, 228076
mgval_0.25_3B, 125.0, 3, 32974485, 11366
mgval_0.25_3C, 153.0, 7, 22806820, 165628
mgval_0.25_4A, 514.0, 3, 93167417, 422949
mgval_0.25_4B, 537.0, 4, 89563363, 1048326
mgval_0.25_4C, 525.0, 5, 94943565, 2060438
mgval_0.25_4D, 675.0, 9, 78652254, 12873341
mgval_0.25_5A, 485.0, 3, 71728313, 947161
mgval_0.25_5B, 493.0, 4, 78661653, 2743596
mgval_0.25_5C, 584.0, 5, 82261394, 1711440
mgval_0.25_5D, 644.0, 9, 63081962, 2728104
mgval_0.25_6A, 274.0, 3, 36941714, 399372
mgval_0.25_6B, 263.0, 4, 45681450, 1393513
mgval_0.25_6C, 324.0, 10, 37542079, 907180
mgval_0.25_7A, 297.0, 4, 41884431, 947581
mgval_0.25_7B, 355.0, 5, 60402714, 850044
mgval_0.25_7C, 378.0, 10, 55227357, 2170272
mgval_0.25_8A, 510.0, 3, 77709276, 2123380
mgval_0.25_8B, 423.0, 4, 75514564, 306897
mgval_0.25_8C, 545.0, 9, 55747627, 3503930
mgval_0.25_9A, 371.0, 4, 80652737, 2045918
mgval_0.25_9B, 358.0, 4, 104511164, 3357464
mgval_0.25_9C, 364.0, 5, 122123423, 13198579
mgval_0.25_9D, 428.0, 10, 117691206, 30128951
mgval_0.25_10A, 492.0, 3, 151427220, 17829831
mgval_0.25_10B, 528.0, 4, 133399352, 7180611
mgval_0.25_10C, 483.0, 5, 138938801, 14659688
mgval_0.25_10D, 567.0, 10, 106349791, 14152459
mgval_0.30_1A, 170.0, 2, 23566753, 523837
mgval_0.30_1B, 194.0, 3, 36049929, 485195
mgval_0.30_1C, 259.0, 9, 29258676, 1216090
mgval_0.30_2A, 233.0, 2, 37196997, 208531
mgval_0.30_2B, 347.0, 3, 42641888, 4195812
mgval_0.30_2C, 495.0, 8, 26820258, 1461513
mgval_0.30_3A, 105.0, 2, 27991663, 155403
mgval_0.30_3B, 115.0, 3, 30718741, 50170
mgval_0.30_3C, 153.0, 7, 25296952, 1501411
mgval_0.30_4A, 477.0, 3, 88100820, 744888
mgval_0.30_4B, 533.0, 4, 104965250, 3886413
mgval_0.30_4C, 498.0, 5, 187026098, 91305513
mgval_0.30_4D, 653.0, 9, 72703318, 7821798
mgval_0.30_5A, 445.0, 3, 73234987, 1216819
